"location","year","sex","total"
"Belgium",2012,"female",541
"Belgium",2012,"male",1485
"Belgium",2013,"female",532
"Belgium",2013,"male",1363
"Belgium",2014,"female",561
"Belgium",2014,"male",1338
"Belgium",2015,"female",552
"Belgium",2015,"male",1315
"Belize",1986,"female",1
"Belize",1986,"male",2
"Belize",1987,"female",0
"Belize",1987,"male",4
"Belize",1989,"female",0
"Belize",1989,"male",1
"Belize",1990,"female",1
"Belize",1990,"male",2
"Belize",1991,"female",0
"Belize",1991,"male",2
"Belize",1993,"female",0
"Belize",1993,"male",1
"Belize",1994,"female",1
"Belize",1994,"male",7
"Belize",1995,"female",1
"Belize",1995,"male",13
"Belize",1996,"female",0
"Belize",1996,"male",8
"Belize",1997,"female",0
"Belize",1997,"male",1
"Belize",1998,"female",1
"Belize",1998,"male",11
"Belize",1999,"female",0
"Belize",1999,"male",18
"Belize",2000,"female",4
"Belize",2000,"male",14
"Belize",2001,"female",2
"Belize",2001,"male",17
"Belize",2002,"female",5
"Belize",2002,"male",9
"Belize",2003,"female",4
"Belize",2003,"male",8
"Belize",2004,"female",1
"Belize",2004,"male",19
"Belize",2005,"female",1
"Belize",2005,"male",11
"Belize",2006,"female",2
"Belize",2006,"male",9
"Belize",2007,"female",2
"Belize",2007,"male",6
"Belize",2008,"female",1
"Belize",2008,"male",10
"Belize",2009,"female",4
"Belize",2009,"male",11
"Belize",2010,"female",2
"Belize",2010,"male",13
"Belize",2011,"female",5
"Belize",2011,"male",28
"Belize",2012,"female",2
"Belize",2012,"male",16
"Belize",2013,"female",1
"Belize",2013,"male",16
"Belize",2014,"female",6
"Belize",2014,"male",18
"Belize",2015,"female",4
"Belize",2015,"male",22
"Bosnia and Herzegovina",2011,"female",0
"Bosnia and Herzegovina",2011,"male",5
"Bosnia and Herzegovina",2014,"female",70
"Bosnia and Herzegovina",2014,"male",243
"Brazil",1985,"female",1066
"Brazil",1985,"male",3162
"Brazil",1986,"female",1154
"Brazil",1986,"male",3117
"Brazil",1987,"female",1163
"Brazil",1987,"male",3509
"Brazil",1988,"female",1139
"Brazil",1988,"male",3327
"Brazil",1989,"female",1071
"Brazil",1989,"male",3392
"Brazil",1990,"female",1214
"Brazil",1990,"male",3589
"Brazil",1991,"female",1195
"Brazil",1991,"male",3961
"Brazil",1992,"female",1174
"Brazil",1992,"male",4033
"Brazil",1993,"female",1187
"Brazil",1993,"male",4321
"Brazil",1994,"female",1291
"Brazil",1994,"male",4605
"Brazil",1995,"female",1401
"Brazil",1995,"male",5135
"Brazil",1996,"female",1398
"Brazil",1996,"male",5300
"Brazil",1997,"female",1417
"Brazil",1997,"male",5474
"Brazil",1998,"female",1445
"Brazil",1998,"male",5477
"Brazil",1999,"female",1226
"Brazil",1999,"male",5281
"Brazil",2000,"female",1380
"Brazil",2000,"male",5383
"Brazil",2001,"female",1557
"Brazil",2001,"male",6153
"Brazil",2002,"female",1694
"Brazil",2002,"male",6003
"Brazil",2003,"female",1605
"Brazil",2003,"male",6234
"Brazil",2004,"female",1703
"Brazil",2004,"male",6292
"Brazil",2005,"female",1804
"Brazil",2005,"male",6725
"Brazil",2006,"female",1801
"Brazil",2006,"male",6817
"Brazil",2007,"female",1871
"Brazil",2007,"male",6984
"Brazil",2008,"female",1918
"Brazil",2008,"male",7266
"Brazil",2009,"female",1873
"Brazil",2009,"male",7473
"Brazil",2010,"female",2073
"Brazil",2010,"male",7356
"Brazil",2011,"female",2088
"Brazil",2011,"male",7734
"Brazil",2012,"female",2254
"Brazil",2012,"male",8041
"Brazil",2013,"female",2223
"Brazil",2013,"male",8290
"Brazil",2014,"female",2233
"Brazil",2014,"male",8398
"Brazil",2015,"female",2397
"Brazil",2015,"male",8766
"Bulgaria",1985,"female",422
"Bulgaria",1985,"male",1034
"Bulgaria",1986,"female",433
"Bulgaria",1986,"male",975
"Bulgaria",1987,"female",429
"Bulgaria",1987,"male",1063
"Bulgaria",1988,"female",427
"Bulgaria",1988,"male",1025
"Bulgaria",1989,"female",419
"Bulgaria",1989,"male",1041
"Bulgaria",1990,"female",403
"Bulgaria",1990,"male",920
"Bulgaria",1991,"female",383
"Bulgaria",1991,"male",1001
"Bulgaria",1992,"female",411
"Bulgaria",1992,"male",1108
"Bulgaria",1993,"female",447
"Bulgaria",1993,"male",1023
"Bulgaria",1994,"female",416
"Bulgaria",1994,"male",1048
"Bulgaria",1995,"female",413
"Bulgaria",1995,"male",1020
"Bulgaria",1996,"female",415
"Bulgaria",1996,"male",1111
"Bulgaria",1997,"female",463
"Bulgaria",1997,"male",1002
"Bulgaria",1998,"female",448
"Bulgaria",1998,"male",1055
"Bulgaria",1999,"female",342
"Bulgaria",1999,"male",965
"Bulgaria",2000,"female",382
"Bulgaria",2000,"male",1001
"Bulgaria",2001,"female",363
"Bulgaria",2001,"male",951
"Bulgaria",2002,"female",336
"Bulgaria",2002,"male",981
"Bulgaria",2003,"female",292
"Bulgaria",2003,"male",800
"Bulgaria",2004,"female",267
"Bulgaria",2004,"male",746
"Bulgaria",2005,"female",255
"Bulgaria",2005,"male",727
"Bulgaria",2006,"female",225
"Bulgaria",2006,"male",752
"Bulgaria",2007,"female",239
"Bulgaria",2007,"male",663
"Bulgaria",2008,"female",245
"Bulgaria",2008,"male",694
"Bulgaria",2009,"female",206
"Bulgaria",2009,"male",662
"Bulgaria",2010,"female",210
"Bulgaria",2010,"male",649
"Bulgaria",2011,"female",158
"Bulgaria",2011,"male",605
"Bulgaria",2012,"female",199
"Bulgaria",2012,"male",673
"Bulgaria",2013,"female",148
"Bulgaria",2013,"male",573
"Bulgaria",2014,"female",172
"Bulgaria",2014,"male",552
"Cabo Verde",2011,"female",5
"Cabo Verde",2011,"male",37
"Canada",1985,"female",693
"Canada",1985,"male",2565
"Canada",1986,"female",820
"Canada",1986,"male",2850
"Canada",1987,"female",799
"Canada",1987,"male",2792
"Canada",1988,"female",776
"Canada",1988,"male",2734
"Canada",1989,"female",796
"Canada",1989,"male",2695
"Canada",1990,"female",705
"Canada",1990,"male",2673
"Canada",1991,"female",718
"Canada",1991,"male",2875
"Canada",1992,"female",786
"Canada",1992,"male",2922
"Canada",1993,"female",789
"Canada",1993,"male",3014
"Canada",1994,"female",780
"Canada",1994,"male",2968
"Canada",1995,"female",812
"Canada",1995,"male",3156
"Canada",1996,"female",848
"Canada",1996,"male",3093
"Canada",1997,"female",767
"Canada",1997,"male",2914
"Canada",1998,"female",774
"Canada",1998,"male",2925
"Canada",1999,"female",850
"Canada",1999,"male",3224
"Canada",2000,"female",808
"Canada",2000,"male",2798
